Date,Day,RouteId,Line,From,To,Slot,BusMin,WalkingFallbackMin,CarMin,ScrapedDetails,HasScreenshot,ScreenshotPath
2026-09-19,Sat,MC-23,Purple,"Behala Chowrasta","Taratala",1:00 PM,8,33,9," | 33 min | 2.4 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-09-19\1_00_PM\MC-23\metro.jpg"
2026-09-19,Sat,MC-24,Purple,"Taratala","Majerhat",1:00 PM,4,18,3," | 18 min | 1.3 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-09-19\1_00_PM\MC-24\metro.jpg"
2026-09-19,Sat,MC-25,Yellow,"Dum Dum Cantonment","Biman Bandar",1:00 PM,36,49,15," | 49 min | 3.5 km | via PK Guha Rd",true,"D:\Traffic\Metro\output\screenshots\2026-09-19\1_00_PM\MC-25\metro.jpg"
2026-09-20,Sun,MC-03,Blue,"Dum Dum","Shyambazar",1:00 PM,35,53,15," | 53 min | 3.8 km | via Belgachia Rd/Khudiram Bose Sarani",true,"D:\Traffic\Metro\output\screenshots\2026-09-20\1_00_PM\MC-03\metro.jpg"
2026-09-20,Sun,MC-06,Blue,"Dakshineswar","Dum Dum",1:00 PM,24,17,24," | 17 min | 5:25 AM—5:42 AM | 32212 - Dankuni - Sealdah Local   | 5:28 AM from Dakshineswar 8 min late |  8 min | Details",true,"D:\Traffic\Metro\output\screenshots\2026-09-20\1_00_PM\MC-06\metro.jpg"
2026-09-20,Sun,MC-06,Blue,"Dakshineswar","Dum Dum",7:00 PM,24,19,25," | 19 min | 7:17 AM—7:36 AM | 32218 - Dankuni - Sealdah Local   | 7:20 AM from Dakshineswar 1 min late |  8 min | Details",true,"D:\Traffic\Metro\output\screenshots\2026-09-20\7_00_PM\MC-06\metro.jpg"
2026-09-20,Sun,MC-20,Purple,"Behala Chowrasta","Majerhat",1:00 PM,12,51,12," | 51 min | 3.7 km | via NH 12",true,"D:\Traffic\Metro\output\screenshots\2026-09-20\1_00_PM\MC-20\metro.jpg"
2026-09-20,Sun,MC-21,Purple,"Joka","Behala Chowrasta",1:00 PM,14,57,11," | 57 min | 4.1 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-09-20\1_00_PM\MC-21\metro.jpg"
2026-09-20,Sun,MC-23,Purple,"Behala Chowrasta","Taratala",12:00 AM,8,33,7," | 33 min | 2.4 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-09-20\12_00_AM\MC-23\metro.jpg"
2026-09-20,Sun,MC-23,Purple,"Behala Chowrasta","Taratala",1:00 PM,8,33,8," | 33 min | 2.4 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-09-20\1_00_PM\MC-23\metro.jpg"
